,link,metro,price_meter,index,desc,price,address,pub_datetime
1413,https://www.cian.ru/rent/flat/227433449/,Саларьево,Комм.платеживключены(безсчётчиков),1412,"1-комн. кв., 35 м², 1/5 этаж",22000/мес.,"Москва, ТАО (Троицкий), м. Саларьево, Первомайское поселение, пос. Птичное, улица Лесная, 81",2020-03-09 12:57:00
1212,https://www.cian.ru/rent/flat/227434221/,Молодежная,Комм.платеживключены(безсчётчиков),1211,"1-комн. кв., 30 м², 5/5 этаж",29000/мес.,"Москва, ЗАО, р-н Кунцево, м. Молодежная, Партизанская улица, 49К2",2020-03-09 13:28:00
1437,https://www.cian.ru/rent/flat/225579756/,None,Комм.платеживключены(безсчётчиков),1436,"1-комн. кв., 33 м², 7/9 этаж",23000/мес.,"Москва, НАО (Новомосковский), Кокошкино дп, улица Дзержинского, 2",2020-03-09 14:04:00
1366,https://www.cian.ru/rent/flat/227439226/,Дубровка,Комм.платеживключены(безсчётчиков),1365,"1-комн. кв., 39 м², 6/14 этаж",54000/мес.,"Москва, ЮВАО, р-н Южнопортовый, м. Дубровка, Шарикоподшипниковская улица, 18",2020-03-09 16:44:00
1436,https://www.cian.ru/rent/flat/226947149/,Улица Горчакова,Комм.платеживключены(безсчётчиков),1435,"1-комн. кв., 27 м², 8/17 этаж",23000/мес.,"Москва, НАО (Новомосковский), м. Улица Горчакова, пос. Коммунарка, улица Потаповская Роща, 24к1",2020-03-09 18:08:00
1364,https://www.cian.ru/rent/flat/227449824/,Фили,Комм.платеживключены(безсчётчиков),1363,"1-комн. кв., 40 м², 12/25 этаж",53000/мес.,"Москва, ЗАО, р-н Филевский парк, м. Фили, Береговой проезд, 5к4",2020-03-10 00:16:00
1386,https://www.cian.ru/rent/flat/183190592/,Комсомольская,Комм.платеживключены(безсчётчиков),1385,"1-комн. кв., 36 м², 7/14 этаж",65000/мес.,"Москва, ЦАО, р-н Красносельский, м. Комсомольская, Новая Басманная улица, 17",2020-03-10 10:14:00
1361,https://www.cian.ru/rent/flat/217651707/,Озерная,Комм.платеживключены(безсчётчиков),1360,"1-комн. кв., 45 м², 12/21 этаж",50000/мес.,"Москва, ЗАО, р-н Очаково-Матвеевское, м. Озерная, Озерная улица, 9",2020-03-10 11:31:00
1149,https://www.cian.ru/rent/flat/227482176/,Каховская,Комм.платеживключены(безсчётчиков),1148,"1-комн. кв., 34 м², 4/5 этаж",35000/мес.,"Москва, ЮЗАО, р-н Зюзино, м. Каховская, улица Каховка, 13К7",2020-03-10 13:21:00
1449,https://www.cian.ru/rent/flat/226861341/,Рассказовка,Комм.платеживключены(безсчётчиков),1448,"1-комн. кв., 28 м², 5/9 этаж",24000/мес.,"Москва, НАО (Новомосковский), м. Рассказовка, Филимонковское поселение, улица Харлампиева, 48к1",2020-03-10 13:55:00
1254,https://www.cian.ru/rent/flat/227486038/,Каховская,Комм.платеживключены(безсчётчиков),1253,"1-комн. кв., 35 м², 10/12 этаж",32000/мес.,"Москва, ЮЗАО, р-н Зюзино, м. Каховская, Симферопольский бульвар, 16К4",2020-03-10 13:57:00
1155,https://www.cian.ru/rent/flat/227325931/,Царицыно,Комм.платеживключены(безсчётчиков),1154,"1-комн. кв., 50 м², 8/15 этаж",38000/мес.,"Москва, ЮАО, р-н Бирюлево Восточное, м. Царицыно, 6-я Радиальная улица, 5к1",2020-03-10 14:06:00
1338,https://www.cian.ru/rent/flat/227493584/,Окружная,Комм.платеживключены(безсчётчиков),1337,"1-комн. апарт., 20 м², 4/5 этаж",44900/мес.,"Москва, СВАО, р-н Марфино, м. Окружная, Гостиничная улица, 10К5",2020-03-10 15:39:00
1360,https://www.cian.ru/rent/flat/191198600/,Спортивная,Комм.платеживключены(безсчётчиков),1359,"1-комн. кв., 35 м², 2/5 этаж",50000/мес.,"Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Доватора, 17",2020-03-10 15:57:00
1206,https://www.cian.ru/rent/flat/227496677/,Щелковская,Комм.платеживключены(безсчётчиков),1205,"1-комн. кв., 35 м², 4/9 этаж",28000/мес.,"Москва, ВАО, р-н Северное Измайлово, м. Щелковская, 3-я Парковая улица, 46К4",2020-03-10 16:23:00
1412,https://www.cian.ru/rent/flat/227496861/,Петровско-Разумовская,Комм.платеживключены(безсчётчиков),1411,"1-комн. кв., 42 м², 9/22 этаж",22000/мес.,"Москва, ЗелАО, р-н Силино, м. Петровско-Разумовская, Зеленоград, мкр. 10-й, к1006",2020-03-10 16:26:00
